#FORMAT: BEACON												
#PREFIX: https://d-nb.info/gnd/												
#TARGET: https://www.musikbibliographie.de/REL?PPN=												
#FEED: https://github.com/musikforschung/bms_beacon/blob/main/dmp/beacon_tuwim.txt											
#LINK: https://www.w3.org/2000/01/rdf-schema#seeAlso												
#CONTACT: Bibliographie des Musikschrifttums <bms@sim.spk-berlin.de>												
#INSTITUTION: Staatliches Institut für Musikforschung Preußischer Kulturbesitz												
#NAME: Bibliographie des Musikschrifttums BMS online												
#MESSAGE: Publikationen über (Name Musikwerk) in der Bibliographie des Musikschrifttums | Publications about (name of musical work) in the Bibliographie des Musikschrifttums											
#DESCRIPTION: Die Bibliographie des Musikschrifttums (BMS online) verzeichnet internationale, wissenschaftliche Publikationen zur Musik. Dabei werden Bücher, Aufsätze und Rezensionen aus Zeitschriften, Festschriften, Kongreßberichten, Jahrbüchern, Sammelbänden und kritischen Berichten musikalischer Editionen berücksichtigt. In der vorliegenden Datei sind die GND-IDs (Tu1) und die zugehörigen BMS-IDs von Musikwerken verzeichnet, zu denen Literatur in der BMS nachgewiesen sind. | The Bibliographie des Musikschrifttums (BMS online) lists international, scholarly publications on music. Books, essays and reviews from journals, festschrifts, proceedings, yearbooks, anthologies and critical reports of musical editions are taken into account. This file contains the GND-IDs (Tu1) and the corresponding BMS-IDs of musical works for which literature is indexed in the BMS.			
#TIMESTAMP: 2025-12-29
#UPDATE: weekly


1114676535||008821607
300945582||008815054
1046130617||00881354X
300192533||008813469
300113056||008812225
1171496443||008808600
30054670X||008806462
117478265X||008797269
1204211973||008794952
300276303||008794898
300492499||008788596
300721862||008787409
300553307||00878700X
300029330||008784787
300125011||008783187
300112912||008783179
30011933X||008777535
4630476-9||008775125
1227959575||008774595
300207808||008769761
300207794||008769753
300299672||008769702
300037643||008764050
300042183||008756724
1319184103||008755183
300215509||00875103X
1170176127||008741484
300777809||00874114X
1163690740||008738920
300252528||008732191
30002486X||008728860
300213131||008728852
300299052||008728763
300126727||008728666
30014220X||008726396
300142196||00872637X
1169243363||008721289
300007787||008721106
300303971||008721084
1140919830||008718326
300207786||008712786
1073318664||008707200
300659997||008699690
300546173||008699402
4378442-2||008697930
300092970||008694842
300303270||008689474
300698860||008689164
300000227||008687188
1114929778||008684731
1277584737||008684626
1145339476||008682992
1204022135||008682828
300646909||008681503
301028079||008676364
1213378176||008674744
1043476466||00867471X
300378149||008650691
1160002886||008650039
300452438||008650012
300453140||008649308
300349254||00864750X
300521529||008642745
1305552512||008640777
300382995||008640483
300476531||00863906X
130495403X||008638721
300100450||008638128
1220852198||008635226
1285182898||008634521
300360940||008633649
300477074||008621187
1187688754||008614113
1204646473||008611432
1117240118||008611424
1062668065||008603324
113642640X||008603316
1129880672||00860178X
30004237X||008601763
300042256||008601755
300032056||00859810X
300031998||008598096
300712162||008597820
