#FORMAT: BEACON												
#PREFIX: https://d-nb.info/gnd/												
#TARGET: https://www.musikbibliographie.de/REL?PPN=												
#VERSION: 0.1												
#FEED: https://github											
#LINK: https://www.w3.org/2000/01/rdf-schema#seeAlso												
#CONTACT: Bibliographie des Musikschrifttums <bms@sim.spk-berlin.de>												
#INSTITUTION: Staatliches Institut für Musikforschung Preußischer Kulturbesitz												
#NAME: Bibliographie des Musikschrifttums BMS online												
#MESSAGE: Literatur von und über (Name) in der Bibliographie des Musikschrifttums / Literature by and about (name) in the bibliography of music literature											
#DESCRIPTION: Die Bibliographie des Musikschrifttums (BMS online) verzeichnet internationale, wissenschaftliche Publikationen zur Musik. Dabei werden Bücher, Aufsätze und Rezensionen aus Zeitschriften, Festschriften, Kongreßberichten, Jahrbüchern, Sammelbänden und kritischen Berichten musikalischer Editionen berücksichtigt. In der Liste sind die GND-IDs (Tp1-Tp4) und die zugehörigen BMS-IDs von Personen verzeichnet, zu denen Literatur in der BMS nachgewiesen sind. Dabei kann die Person sowohl Autor als auch Thema der jeweiligen Publikation sein. / The Bibliography of Music Literature (BMS online) lists international, scholarly publications on music. Books, essays and reviews from journals, festschrifts, congress reports, yearbooks, anthologies and critical reports of musical editions are considered. The list contains the GND-IDs (Tp1-Tp4) and the corresponding BMS-IDs of persons for whom literature is indexed in the BMS. The person can be both author and subject of the respective publication.				
#TIMESTAMP: 2021-12-08
#UPDATE: yearly												


119008505||000388998
123886759||000448095
137753675||000455431
118855085||000464341
132159872||000476668
108209113||000480347
1033026018||000490954
118914413||000496901
131803565||000508969
100422977||000519367
119119897||000521973
120605716||00052266X
131781189||000529214
13849858X||000529230
1023331004||000579416
12857660X||000580554
130844748||000581372
135318831||00058567X
119480298||00058634X
128808632||000602744
123385717||000613150
128768835||000621935
121655210||000636274
131414690||000636673
11853002X||000641065
121541029||000654078
129029343||000663565
114401977||000666254
13026816X||000675024
134640896||000676764
1027482708||000678465
123211530||000686468
124102093||000691542
137147228||000694428
143821229||000694436
1029344418||000705926
13203476X||000710172
120149680||00071531X
122732650||000717460
114281084||00071786X
118557777||000718076
118512374||00071898X
116953128||000720925
120864975||000725595
124957501||00072792X
120383276||000729809
122629000||000729817
116488980||000730068
128861673||000731749
135037549||000735345
141779969||000744204
118678981||000745812
13178028X||000746584
13178000X||000746681
131779389||00074686X
13218060X||005919711
124624200||002055686
129045780||00206765X
132006812||002069695
131911414||002070073
128444282||002073730
135456622||002073919
119186586||002075652
118789066||002107767
133091864||002218062
118746936||002219670
133210995||002220520
133215636||002221934
130297208||002223120
119072874||002226189
131975862||002226987
133216519||002227819
118679759||002229811
13149970X||002230534
115791566||002234912
129773751||002237180
11938888X||002237288
133239667||002241528
102202028||002242036
133241211||002243245
133241327||002243377
131591258||002243466
122359607||002245183
123665329||002245477
111358701||002245884
13326663X||002246090
133267555||002246244
